Year, Carbon Dioxide (ppm)
1959, 315.58
1959, 316.48
1959, 316.65
1959, 317.72
1959, 318.29
1959, 318.15
1959, 316.54
1959, 314.8
1959, 313.84
1959, 313.34
1959, 314.81
1959, 315.58
1960, 316.43
1960, 316.97
1960, 317.58
1960, 319.03
1960, 320.03
1960, 319.59
1960, 318.18
1960, 315.9
1960, 314.17
1960, 313.83
1960, 315
1960, 316.19
1961, 316.9
1961, 317.7
1961, 318.54
1961, 319.48
1961, 320.58
1961, 319.77
1961, 318.57
1961, 316.79
1961, 314.99
1961, 315.31
1961, 316.1
1961, 317.01
1962, 317.94
1962, 318.55
1962, 319.68
1962, 320.57
1962, 321.01
1962, 320.62
1962, 319.61
1962, 317.4
1962, 316.25
1962, 315.42
1962, 316.69
1962, 317.7
1963, 318.74
1963, 319.07
1963, 319.86
1963, 321.39
1963, 322.25
1963, 321.48
1963, 319.74
1963, 317.77
1963, 316.21
1963, 315.99
1963, 317.06
1963, 318.35
1964, 319.57
1964,
1964,
1964,
1964, 322.26
1964, 321.89
1964, 320.44
1964, 318.69
1964, 316.71
1964, 316.87
1964, 317.68
1964, 318.71
1965, 319.44
1965, 320.44
1965, 320.89
1965, 322.14
1965, 322.16
1965, 321.87
1965, 321.21
1965, 318.87
1965, 317.82
1965, 317.3
1965, 318.87
1965, 319.42
1966, 320.62
1966, 321.59
1966, 322.39
1966, 323.7
1966, 324.08
1966, 323.75
1966, 322.39
1966, 320.36
1966, 318.64
1966, 318.1
1966, 319.79
1966, 321.03
1967, 322.32
1967, 322.5
1967, 323.04
1967, 324.42
1967, 325
1967, 324.09
1967, 322.55
1967, 320.92
1967, 319.25
1967, 319.39
1967, 320.72
1967, 321.96
1968, 322.57
1968, 323.14
1968, 323.89
1968, 325.02
1968, 325.57
1968, 325.36
1968, 324.14
1968, 322.11
1968, 320.33
1968, 320.25
1968, 321.32
1968, 322.89
1969, 324
1969, 324.42
1969, 325.63
1969, 326.66
1969, 327.38
1969, 326.7
1969, 325.88
1969, 323.66
1969, 322.38
1969, 321.78
1969, 322.85
1969, 324.12
1970, 325.06
1970, 325.98
1970, 326.93
1970, 328.14
1970, 328.08
1970, 327.67
1970, 326.34
1970, 324.69
1970, 323.1
1970, 323.07
1970, 324.01
1970, 325.13
1971, 326.17
1971, 326.68
1971, 327.17
1971, 327.79
1971, 328.92
1971, 328.57
1971, 327.36
1971, 325.43
1971, 323.36
1971, 323.57
1971, 324.8
1971, 326.01
1972, 326.77
1972, 327.63
1972, 327.75
1972, 329.73
1972, 330.07
1972, 329.09
1972, 328.04
1972, 326.32
1972, 324.84
1972, 325.2
1972, 326.5
1972, 327.55
1973, 328.55
1973, 329.56
1973, 330.3
1973, 331.5
1973, 332.48
1973, 332.07
1973, 330.87
1973, 329.31
1973, 327.51
1973, 327.18
1973, 328.16
1973, 328.64
1974, 329.35
1974, 330.71
1974, 331.48
1974, 332.65
1974, 333.09
1974, 332.25
1974, 331.18
1974, 329.39
1974, 327.43
1974, 327.37
1974, 328.46
1974, 329.57
1975, 330.4
1975, 331.4
1975, 332.04
1975, 333.31
1975, 333.97
1975, 333.6
1975, 331.9
1975, 330.06
1975, 328.56
1975, 328.34
1975, 329.49
1975, 330.76
1976, 331.75
1976, 332.56
1976, 333.5
1976, 334.58
1976, 334.88
1976, 334.34
1976, 333.05
1976, 330.94
1976, 329.3
1976, 328.94
1976, 330.31
1976, 331.68
1977, 332.93
1977, 333.42
1977, 334.7
1977, 336.07
1977, 336.75
1977, 336.27
1977, 334.92
1977, 332.75
1977, 331.59
1977, 331.16
1977, 332.4
1977, 333.85
1978, 334.97
1978, 335.38
1978, 336.64
1978, 337.76
1978, 338.01
1978, 337.89
1978, 336.54
1978, 334.68
1978, 332.76
1978, 332.55
1978, 333.92
1978, 334.95
1979, 336.23
1979, 336.76
1979, 337.96
1979, 338.89
1979, 339.47
1979, 339.29
1979, 337.73
1979, 336.08
1979, 333.92
1979, 333.86
1979, 335.29
1979, 336.73
1980, 338.01
1980, 338.36
1980, 340.07
1980, 340.77
1980, 341.47
1980, 341.17
1980, 339.56
1980, 337.6
1980, 335.88
1980, 336.02
1980, 337.1
1980, 338.21
1981, 339.24
1981, 340.48
1981, 341.38
1981, 342.51
1981, 342.91
1981, 342.25
1981, 340.49
1981, 338.43
1981, 336.69
1981, 336.86
1981, 338.36
1981, 339.61
1982, 340.75
1982, 341.61
1982, 342.7
1982, 343.57
1982, 344.14
1982, 343.35
1982, 342.06
1982, 339.81
1982, 337.98
1982, 337.86
1982, 339.26
1982, 340.49
1983, 341.38
1983, 342.52
1983, 343.1
1983, 344.94
1983, 345.76
1983, 345.32
1983, 343.98
1983, 342.38
1983, 339.87
1983, 339.99
1983, 341.15
1983, 342.99
1984, 343.7
1984, 344.5
1984, 345.28
1984, 347.07
1984, 347.43
1984, 346.8
1984, 345.39
1984, 343.28
1984, 341.07
1984, 341.35
1984, 342.98
1984, 344.22
1985, 344.97
1985, 345.99
1985, 347.43
1985, 348.35
1985, 348.93
1985, 348.25
1985, 346.56
1985, 344.68
1985, 343.09
1985, 342.8
1985, 344.24
1985, 345.56
1986, 346.3
1986, 346.95
1986, 347.85
1986, 349.55
1986, 350.21
1986, 349.55
1986, 347.94
1986, 345.9
1986, 344.85
1986, 344.17
1986, 345.66
1986, 346.9
1987, 348.02
1987, 348.47
1987, 349.41
1987, 350.99
1987, 351.85
1987, 351.26
1987, 349.51
1987, 348.1
1987, 346.45
1987, 346.36
1987, 347.81
1987, 348.96
1988, 350.43
1988, 351.73
1988, 352.22
1988, 353.59
1988, 354.22
1988, 353.79
1988, 352.38
1988, 350.43
1988, 348.73
1988, 348.88
1988, 350.07
1988, 351.34
1989, 352.76
1989, 353.07
1989, 353.68
1989, 355.42
1989, 355.67
1989, 355.12
1989, 353.9
1989, 351.67
1989, 349.8
1989, 349.99
1989, 351.29
1989, 352.52
1990, 353.66
1990, 354.7
1990, 355.38
1990, 356.2
1990, 357.16
1990, 356.23
1990, 354.81
1990, 352.91
1990, 350.96
1990, 351.18
1990, 352.83
1990, 354.21
1991, 354.72
1991, 355.75
1991, 357.16
1991, 358.6
1991, 359.34
1991, 358.24
1991, 356.17
1991, 354.02
1991, 352.15
1991, 352.21
1991, 353.75
1991, 354.99
1992, 355.99
1992, 356.72
1992, 357.81
1992, 359.15
1992, 359.66
1992, 359.25
1992, 357.02
1992, 355
1992, 353.01
1992, 353.31
1992, 354.16
1992, 355.4
1993, 356.7
1993, 357.16
1993, 358.38
1993, 359.46
1993, 360.28
1993, 359.6
1993, 357.57
1993, 355.52
1993, 353.69
1993, 353.99
1993, 355.33
1993, 356.8
1994, 358.37
1994, 358.91
1994, 359.97
1994, 361.27
1994, 361.69
1994, 360.94
1994, 359.55
1994, 357.48
1994, 355.84
1994, 356
1994, 357.58
1994, 359.04
1995, 359.97
1995, 361
1995, 361.64
1995, 363.45
1995, 363.8
1995, 363.26
1995, 361.9
1995, 359.45
1995, 358.05
1995, 357.76
1995, 359.56
1995, 360.7
1996, 362.05
1996, 363.24
1996, 364.02
1996, 364.72
1996, 365.41
1996, 364.97
1996, 363.65
1996, 361.48
1996, 359.45
1996, 359.61
1996, 360.76
1996, 362.33
1997, 363.18
1997, 363.99
1997, 364.56
1997, 366.36
1997, 366.8
1997, 365.63
1997, 364.47
1997, 362.5
1997, 360.19
1997, 360.77
1997, 362.43
1997, 364.28
1998, 365.33
1998, 366.15
1998, 367.31
1998, 368.61
1998, 369.3
1998, 368.88
1998, 367.64
1998, 365.77
1998, 363.9
1998, 364.24
1998, 365.46
1998, 366.97
1999, 368.15
1999, 368.87
1999, 369.59
1999, 371.14
1999, 371
1999, 370.35
1999, 369.27
1999, 366.93
1999, 364.64
1999, 365.13
1999, 366.68
1999, 368.01
2000, 369.14
2000, 369.46
2000, 370.51
2000, 371.66
2000, 371.83
2000, 371.69
2000, 370.12
2000, 368.12
2000, 366.62
2000, 366.73
2000, 368.29
2000, 369.53
2001, 370.28
2001, 371.5
2001, 372.12
2001, 372.87
2001, 374.02
2001, 373.31
2001, 371.62
2001, 369.55
2001, 367.96
2001, 368.1
2001, 369.68
2001, 371.24
2002, 372.44
2002, 373.08
2002, 373.52
2002, 374.86
2002, 375.55
2002, 375.4
2002, 374.02
2002, 371.48
2002, 370.7
2002, 370.25
2002, 372.08
2002, 373.78
2003, 374.68
2003, 375.62
2003, 376.11
2003, 377.65
2003, 378.35
2003, 378.13
2003, 376.61
2003, 374.48
2003, 372.98
2003, 373
2003, 374.34
2003, 375.69
2004, 376.79
2004, 377.36
2004, 378.39
2004, 380.5
2004, 380.61
2004, 379.55
2004, 377.76
2004, 375.84
2004, 374.05
2004, 374.22
2004, 375.84
2004, 377.44
2005, 378.34
2005, 379.61
2005, 380.17
2005, 382.05
2005, 382.24
2005, 382.08
2005, 380.67
2005, 378.67
2005, 376.42
2005, 376.8
2005, 378.31
2005, 379.96
2006, 381.37
2006, 382.02
2006, 382.56
2006, 384.37
2006, 384.92
2006, 384.03
2006, 382.28
2006, 380.48
2006, 378.81
2006, 379.06
2006, 380.14
2006, 381.66
2007, 382.58
2007, 383.71
2007, 384.34
2007, 386.23
2007, 386.41
2007, 385.87
2007, 384.45
2007, 381.84
2007, 380.86
2007, 380.86
2007, 382.35
2007, 383.61
2008, 385.07
2008, 385.84
2008, 385.83
2008, 386.77
2008, 388.51
2008, 388.05
2008, 386.25
2008, 384.08
2008, 383.09
2008, 382.78
2008, 384.01
2008, 385.11
2009, 386.65
2009, 387.12
2009, 388.51
2009, 389.57
2009, 390.16
2009, 389.62
2009, 388.07
2009, 386.08
2009, 384.65
2009, 384.33
2009, 386.05
2009, 387.49
2010, 388.55
2010, 390.07
2010, 391.01
2010, 392.38
2010, 393.22
2010, 392.24
2010, 390.33
2010, 388.52
2010, 386.84
2010, 387.16
2010, 388.67
2010, 389.81
2011, 391.3
2011, 391.92
2011, 392.45
2011, 393.37
2011, 394.28
2011, 393.69
2011, 392.6
2011, 390.21
2011, 389
2011, 388.93
2011, 390.24
2011, 391.8
2012, 393.07
2012, 393.35
2012, 394.36
2012, 396.43
2012, 396.87
2012, 395.88
2012, 394.52
2012, 392.54
2012, 391.13
2012, 391.01
2012, 392.95
2012, 394.34
2013, 395.61
2013, 396.85
2013, 397.26
2013, 398.35
2013, 399.98
2013, 398.87
2013, 397.37
2013, 395.41
2013, 393.39
2013, 393.7
2013, 395.19
2013, 396.82
2014, 397.93
2014, 398.1
2014, 399.47
2014, 401.33
2014, 401.88
2014, 401.31
2014, 399.07
2014, 397.21
2014, 395.4
2014, 395.65
2014, 397.22
2014, 398.79
2015, 399.85
2015, 400.31
2015, 401.51
2015, 403.45
2015, 404.11
2015, 402.88
2015, 401.6
2015, 399
2015, 397.5
2015, 398.28
2015, 400.24
2015, 401.89
2016, 402.65
2016, 404.16
2016, 404.86
2016, 407.57
2016, 407.65
2016, 407
2016, 404.5
2016, 402.24
2016, 401.01
2016, 401.5
2016, 403.64
2016, 404.55
